"Story","Title","Result","Date","Stability","Duration (s)"
"Create Product","Create a comment product with url","SUCCESS","2022-11-09T12:05:25.1039586+07:00[Asia/Bangkok]","0.0","4.5"
"Create Product","Assign product with url","SUCCESS","2022-11-09T12:05:29.626564+07:00[Asia/Bangkok]","0.0","1.35"
"Get index","Get index with valid url","SUCCESS","2022-11-09T12:05:25.225959+07:00[Asia/Bangkok]","0.0","4.36"
"Login","Login with valid email and password","SUCCESS","2022-11-09T12:05:25.2369597+07:00[Asia/Bangkok]","0.0","6.0"
"Login","Login with invalid email and password","SUCCESS","2022-11-09T12:05:31.2441474+07:00[Asia/Bangkok]","0.0","1.38"
"Login","Login with null email and password","SUCCESS","2022-11-09T12:05:32.630855+07:00[Asia/Bangkok]","0.0","1.38"
"Login","Login with valid email and invalid password","SUCCESS","2022-11-09T12:05:34.0106301+07:00[Asia/Bangkok]","0.0","1.34"
"Login","Login with invalid email and valid password","SUCCESS","2022-11-09T12:05:35.3522205+07:00[Asia/Bangkok]","0.0","1.33"
"Get Products","Get all products","SUCCESS","2022-11-09T12:05:25.2199586+07:00[Asia/Bangkok]","0.0","7.91"
"Get Products","Get product ratings","SUCCESS","2022-11-09T12:05:33.1360916+07:00[Asia/Bangkok]","0.0","1.35"
"Get Products","Get product comments","SUCCESS","2022-11-09T12:05:34.4934496+07:00[Asia/Bangkok]","0.0","1.48"
"Get user information","Get info products","SUCCESS","2022-11-09T12:05:25.2309561+07:00[Asia/Bangkok]","0.0","4.37"
